Combination,Number
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity",14
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Pleural Effusion",53
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Pneumonia",27
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Pneumothorax",1
"Cardiomegaly, Consolidation, Edema, Fracture, Lung Opacity",1
"Cardiomegaly, Consolidation, Edema, Fracture, Pneumonia",2
"Cardiomegaly, Consolidation, Edema, Lung Lesion, Lung Opacity",3
"Cardiomegaly, Consolidation, Edema, Lung Lesion, Pleural Effusion",9
"Cardiomegaly, Consolidation, Edema, Lung Lesion, Pneumonia",1
"Cardiomegaly, Consolidation, Edema, Lung Opacity, Pleural Effusion",54
"Cardiomegaly, Consolidation, Edema, Lung Opacity, Pleural Other",1
"Cardiomegaly, Consolidation, Edema, Lung Opacity, Pneumonia",28
"Cardiomegaly, Consolidation, Edema, Lung Opacity, Pneumothorax",2
"Cardiomegaly, Consolidation, Edema, Pleural Effusion, Pleural Other",2
"Cardiomegaly, Consolidation, Edema, Pleural Effusion, Pneumonia",228
"Cardiomegaly, Consolidation, Edema, Pleural Effusion, Pneumothorax",4
"Cardiomegaly, Consolidation, Edema, Pleural Other, Pneumonia",1
"Cardiomegaly, Consolidation, Edema, Pleural Other, Pneumothorax",1
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Fracture, Lung Opacity",1
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Fracture, Pleural Effusion",2
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Fracture, Pneumonia",1
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity",4
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion",5
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Pneumonia",4
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion",34
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia",27
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pneumothorax",2
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia",47
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Pleural Effusion, Pneumothorax",18
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Pneumonia, Pneumothorax",1
"Cardiomegaly, Consolidation, Fracture, Lung Opacity, Pleural Other",1
"Cardiomegaly, Consolidation, Fracture, Pleural Effusion, Pneumonia",2
"Cardiomegaly, Consolidation, Lung Lesion, Lung Opacity, Pleural Effusion",5
"Cardiomegaly, Consolidation, Lung Lesion, Lung Opacity, Pneumonia",3
"Cardiomegaly, Consolidation, Lung Lesion, Pleural Effusion, Pleural Other",1
"Cardiomegaly, Consolidation, Lung Lesion, Pleural Effusion, Pneumonia",10
"Cardiomegaly, Consolidation, Lung Opacity, Pleural Effusion, Pleural Other",2
"Cardiomegaly, Consolidation, Lung Opacity, Pleural Effusion, Pneumonia",19
"Cardiomegaly, Consolidation, Lung Opacity, Pleural Effusion, Pneumothorax",4
"Cardiomegaly, Consolidation, Lung Opacity, Pleural Other, Pneumonia",2
"Cardiomegaly, Consolidation, Pleural Effusion, Pleural Other, Pneumonia",3
"Cardiomegaly, Consolidation, Pleural Effusion, Pneumonia, Pneumothorax",3
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity",1
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Fracture, Pleural Effusion",9
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Fracture, Pneumothorax",1
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity",1
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion",3
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Lesion, Pneumonia",1
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion",83
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other",6
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia",87
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other",1
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia",22
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumothorax",16
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Pneumonia, Pneumothorax",1
"Cardiomegaly, Edema, Fracture, Lung Lesion, Pleural Effusion",1
"Cardiomegaly, Edema, Fracture, Lung Opacity, Pleural Effusion",11
"Cardiomegaly, Edema, Fracture, Lung Opacity, Pleural Other",3
"Cardiomegaly, Edema, Fracture, Lung Opacity, Pneumonia",4
"Cardiomegaly, Edema, Fracture, Pleural Effusion, Pleural Other",1
"Cardiomegaly, Edema, Fracture, Pleural Effusion, Pneumonia",2
"Cardiomegaly, Edema, Fracture, Pleural Effusion, Pneumothorax",2
"Cardiomegaly, Edema, Lung Lesion, Lung Opacity, Pleural Effusion",18
"Cardiomegaly, Edema, Lung Lesion, Lung Opacity, Pneumonia",15
"Cardiomegaly, Edema, Lung Lesion, Lung Opacity, Pneumothorax",1
"Cardiomegaly, Edema, Lung Lesion, Pleural Effusion, Pleural Other",1
"Cardiomegaly, Edema, Lung Lesion, Pleural Effusion, Pneumonia",8
"Cardiomegaly, Edema, Lung Opacity, Pleural Effusion, Pleural Other",6
"Cardiomegaly, Edema, Lung Opacity, Pleural Effusion, Pneumonia",454
"Cardiomegaly, Edema, Lung Opacity, Pleural Effusion, Pneumothorax",27
"Cardiomegaly, Edema, Lung Opacity, Pleural Other, Pneumonia",8
"Cardiomegaly, Edema, Lung Opacity, Pneumonia, Pneumothorax",7
"Cardiomegaly, Edema, Pleural Effusion, Pleural Other, Pneumonia",4
"Cardiomegaly, Edema, Pleural Effusion, Pleural Other, Pneumothorax",3
"Cardiomegaly, Edema, Pleural Effusion, Pneumonia, Pneumothorax",5
"Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Lung Lesion, Lung Opacity",3
"Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Lung Lesion, Pleural Effusion",1
"Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion",3
"Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pneumonia",3
"Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Pleural Effusion, Pleural Other",2
"Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Pleural Effusion, Pneumothorax",1
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion",9
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumonia",8
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pneumothorax",2
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other",5
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia",47
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumothorax",20
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other, Pneumonia",1
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other, Pneumothorax",1
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia, Pneumothorax",2
"Cardiomegaly, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other, Pneumothorax",1
"Cardiomegaly, Fracture, Lung Lesion, Lung Opacity, Pleural Other",1
"Cardiomegaly, Fracture, Lung Lesion, Pleural Effusion, Pleural Other",1
"Cardiomegaly, Fracture, Lung Opacity, Pleural Effusion, Pleural Other",5
"Cardiomegaly, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",4
"Cardiomegaly, Fracture, Lung Opacity, Pleural Effusion, Pneumothorax",2
"Cardiomegaly, Fracture, Lung Opacity, Pleural Other, Pneumonia",1
"Cardiomegaly, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other",3
"Cardiomegaly, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",15
"Cardiomegaly, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumothorax",3
"Cardiomegaly, Lung Lesion, Lung Opacity, Pleural Other, Pneumonia",2
"Cardiomegaly, Lung Lesion, Lung Opacity, Pneumonia, Pneumothorax",1
"Cardiomegaly, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",9
"Cardiomegaly, Lung Opacity, Pleural Effusion, Pleural Other, Pneumothorax",2
"Cardiomegaly, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",6
"Consolidation, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity",1
"Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion",12
"Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia",13
"Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pneumothorax",1
"Consolidation, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia",17
"Consolidation, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumothorax",2
"Consolidation, Edema, Enlarged Cardiomediastinum, Pneumonia, Pneumothorax",1
"Consolidation, Edema, Fracture, Lung Opacity, Pleural Effusion",1
"Consolidation, Edema, Fracture, Lung Opacity, Pneumonia",1
"Consolidation, Edema, Fracture, Pleural Effusion, Pneumonia",3
"Consolidation, Edema, Lung Lesion, Lung Opacity, Pleural Effusion",5
"Consolidation, Edema, Lung Lesion, Lung Opacity, Pneumonia",12
"Consolidation, Edema, Lung Lesion, Pleural Effusion, Pneumonia",17
"Consolidation, Edema, Lung Opacity, Pleural Effusion, Pneumonia",81
"Consolidation, Edema, Lung Opacity, Pleural Effusion, Pneumothorax",5
"Consolidation, Edema, Lung Opacity, Pleural Other, Pneumonia",4
"Consolidation, Edema, Lung Opacity, Pneumonia, Pneumothorax",2
"Consolidation, Edema, Pleural Effusion, Pleural Other, Pneumonia",1
"Consolidation, Edema, Pleural Effusion, Pneumonia, Pneumothorax",6
"Consolidation, Enlarged Cardiomediastinum, Fracture, Lung Lesion, Lung Opacity",1
"Consolidation, Enlarged Cardiomediastinum, Fracture, Pleural Effusion, Pneumonia",1
"Consolidation, Enlarged Cardiomediastinum, Fracture, Pleural Other, Pneumonia",1
"Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion",2
"Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Other",1
"Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumonia",5
"Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumothorax",1
"Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pneumothorax",1
"Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other",2
"Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia",14
"Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumothorax",4
"Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other, Pneumonia",2
"Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia, Pneumothorax",4
"Consolidation, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other, Pneumonia",1
"Consolidation, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other, Pneumothorax",1
"Consolidation, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia, Pneumothorax",1
"Consolidation, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",1
"Consolidation, Fracture, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Consolidation, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other",3
"Consolidation, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",13
"Consolidation, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumothorax",5
"Consolidation, Lung Lesion, Lung Opacity, Pleural Other, Pneumonia",2
"Consolidation, Lung Lesion, Pleural Effusion, Pneumonia, Pneumothorax",3
"Consolidation, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",1
"Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion",6
"Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pneumonia",1
"Edema, Enlarged Cardiomediastinum, Fracture, Pleural Effusion, Pneumonia",1
"Edema, Enlarged Cardiomediastinum, Fracture, Pleural Effusion, Pneumothorax",6
"Edema, Enlarged Cardiomediastinum, Fracture, Pneumonia, Pneumothorax",1
"Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion",4
"Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumonia",7
"Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumothorax",1
"Edema, Enlarged Cardiomediastinum, Lung Lesion, Pleural Other, Pneumothorax",1
"Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other",2
"Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia",82
"Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumothorax",10
"Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other, Pneumonia",3
"Edema, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia, Pneumothorax",4
"Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other, Pneumonia",1
"Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other, Pneumothorax",1
"Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia, Pneumothorax",3
"Edema, Enlarged Cardiomediastinum, Pleural Other, Pneumonia, Pneumothorax",1
"Edema, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",5
"Edema, Fracture, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other",1
"Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",35
"Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Edema, Lung Lesion, Lung Opacity, Pleural Other, Pneumonia",5
"Edema, Lung Lesion, Lung Opacity, Pneumonia, Pneumothorax",1
"Edema, Lung Lesion, Pleural Effusion, Pneumonia, Pneumothorax",2
"Edema, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",12
"Edema, Lung Opacity, Pleural Effusion, Pleural Other, Pneumothorax",1
"Edema, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",18
"Enlarged Cardiomediastinum, Fracture, Lung Lesion, Lung Opacity, Pneumonia",3
"Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",2
"Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other",3
"Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",10
"Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumothorax",8
"Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumonia, Pneumothorax",1
"Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pleural Other, Pneumothorax",1
"Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",7
"Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other, Pneumothorax",3
"Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",4
"Enlarged Cardiomediastinum, Lung Opacity, Pleural Other, Pneumonia, Pneumothorax",3
"Fracture, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",1
"Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",3
"Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other, Pneumothorax",2
"Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",4
"Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia, Pneumothorax",2
"Atelectasis, Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity",4
"Atelectasis, Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Pleural Effusion",31
"Atelectasis, Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Pneumonia",9
"Atelectasis, Cardiomegaly, Consolidation, Edema, Fracture, Lung Opacity",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Fracture, Pleural Effusion",5
"Atelectasis, Cardiomegaly, Consolidation, Edema, Fracture, Pleural Other",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Fracture, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Lung Lesion, Lung Opacity",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Lung Lesion, Pleural Effusion",3
"Atelectasis, Cardiomegaly, Consolidation, Edema, Lung Lesion, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Lung Opacity, Pleural Effusion",156
"Atelectasis, Cardiomegaly, Consolidation, Edema, Lung Opacity, Pneumonia",28
"Atelectasis, Cardiomegaly, Consolidation, Edema, Lung Opacity, Pneumothorax",2
"Atelectasis, Cardiomegaly, Consolidation, Edema, Pleural Effusion, Pleural Other",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Pleural Effusion, Pneumonia",156
"Atelectasis, Cardiomegaly, Consolidation, Edema, Pleural Effusion, Pneumothorax",6
"Atelectasis, Cardiomegaly, Consolidation, Edema, Pleural Other, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Fracture, Lung Opacity",1
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Fracture, Pleural Effusion",1
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion",1
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion",12
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia",12
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other",1
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia",18
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Pleural Effusion, Pneumothorax",6
"Atelectasis, Cardiomegaly, Consolidation, Fracture, Lung Opacity, Pleural Effusion",4
"Atelectasis, Cardiomegaly, Consolidation, Fracture, Lung Opacity, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Fracture, Pleural Effusion, Pneumonia",3
"Atelectasis, Cardiomegaly, Consolidation, Fracture, Pleural Effusion, Pneumothorax",2
"Atelectasis, Cardiomegaly, Consolidation, Lung Lesion, Lung Opacity, Pleural Effusion",6
"Atelectasis, Cardiomegaly, Consolidation, Lung Lesion, Pleural Effusion, Pneumonia",4
"Atelectasis, Cardiomegaly, Consolidation, Lung Opacity, Pleural Effusion, Pneumonia",66
"Atelectasis, Cardiomegaly, Consolidation, Lung Opacity, Pleural Effusion, Pneumothorax",4
"Atelectasis, Cardiomegaly, Consolidation, Lung Opacity, Pneumonia, Pneumothorax",1
"Atelectasis, Cardiomegaly, Consolidation, Pleural Effusion, Pneumonia, Pneumothorax",4
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity",1
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Fracture, Pleural Effusion",1
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity",1
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion",5
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Lesion, Pleural Other",1
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion",112
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia",22
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia",10
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumothorax",16
"Atelectasis, Cardiomegaly, Edema, Fracture, Lung Opacity, Pleural Effusion",10
"Atelectasis, Cardiomegaly, Edema, Fracture, Lung Opacity, Pneumonia",2
"Atelectasis, Cardiomegaly, Edema, Fracture, Pleural Effusion, Pleural Other",1
"Atelectasis, Cardiomegaly, Edema, Fracture, Pleural Effusion, Pneumonia",2
"Atelectasis, Cardiomegaly, Edema, Fracture, Pleural Effusion, Pneumothorax",2
"Atelectasis, Cardiomegaly, Edema, Lung Lesion, Lung Opacity, Pleural Effusion",18
"Atelectasis, Cardiomegaly, Edema, Lung Lesion, Lung Opacity, Pneumonia",7
"Atelectasis, Cardiomegaly, Edema, Lung Lesion, Pleural Effusion, Pneumonia",1
"Atelectasis, Cardiomegaly, Edema, Lung Opacity, Pleural Effusion, Pleural Other",4
"Atelectasis, Cardiomegaly, Edema, Lung Opacity, Pleural Effusion, Pneumonia",417
"Atelectasis, Cardiomegaly, Edema, Lung Opacity, Pleural Effusion, Pneumothorax",19
"Atelectasis, Cardiomegaly, Edema, Lung Opacity, Pneumonia, Pneumothorax",4
"Atelectasis, Cardiomegaly, Edema, Pleural Effusion, Pleural Other, Pneumonia",2
"Atelectasis, Cardiomegaly, Edema, Pleural Effusion, Pleural Other, Pneumothorax",1
"Atelectasis, Cardiomegaly, Edema, Pleural Effusion, Pneumonia, Pneumothorax",1
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion",3
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pneumonia",4
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Pleural Effusion, Pneumothorax",3
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion",8
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumonia",7
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pneumothorax",1
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other",3
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia",55
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumothorax",15
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other, Pneumonia",1
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia, Pneumothorax",2
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other, Pneumonia",2
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia, Pneumothorax",1
"Atelectasis, Cardiomegaly, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",10
"Atelectasis, Cardiomegaly, Fracture, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Atelectasis, Cardiomegaly, Fracture, Lung Opacity, Pneumonia, Pneumothorax",1
"Atelectasis, Cardiomegaly, Fracture, Pleural Effusion, Pleural Other, Pneumothorax",1
"Atelectasis, Cardiomegaly, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other",3
"Atelectasis, Cardiomegaly, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",8
"Atelectasis, Cardiomegaly, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumothorax",3
"Atelectasis, Cardiomegaly, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",4
"Atelectasis, Cardiomegaly, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",10
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion",23
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other",1
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia",3
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia",37
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumothorax",3
"Atelectasis, Consolidation, Edema, Fracture, Lung Opacity, Pleural Effusion",1
"Atelectasis, Consolidation, Edema, Fracture, Pleural Effusion, Pneumonia",1
"Atelectasis, Consolidation, Edema, Fracture, Pleural Effusion, Pneumothorax",1
"Atelectasis, Consolidation, Edema, Lung Lesion, Lung Opacity, Pleural Effusion",4
"Atelectasis, Consolidation, Edema, Lung Lesion, Lung Opacity, Pleural Other",1
"Atelectasis, Consolidation, Edema, Lung Lesion, Lung Opacity, Pneumonia",2
"Atelectasis, Consolidation, Edema, Lung Lesion, Pleural Effusion, Pneumonia",2
"Atelectasis, Consolidation, Edema, Lung Opacity, Pleural Effusion, Pleural Other",1
"Atelectasis, Consolidation, Edema, Lung Opacity, Pleural Effusion, Pneumonia",86
"Atelectasis, Consolidation, Edema, Lung Opacity, Pleural Effusion, Pneumothorax",5
"Atelectasis, Consolidation, Edema, Lung Opacity, Pleural Other, Pneumonia",1
"Atelectasis, Consolidation, Edema, Pleural Effusion, Pleural Other, Pneumothorax",1
"Atelectasis, Consolidation, Edema, Pleural Effusion, Pneumonia, Pneumothorax",2
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion",3
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pneumonia",1
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Fracture, Pleural Effusion, Pneumonia",3
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Fracture, Pleural Effusion, Pneumothorax",1
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion",11
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pneumonia",2
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pneumothorax",4
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia",42
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumothorax",8
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia, Pneumothorax",3
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia, Pneumothorax",9
"Atelectasis, Consolidation, Fracture, Lung Lesion, Lung Opacity, Pleural Effusion",1
"Atelectasis, Consolidation, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",1
